saya	2565	6.980%
di	1716	4.670%
dia	1599	4.351%
dan	1079	2.936%
jam	685	1.864%
ada	628	1.709%
ke	505	1.374%
dari	497	1.352%
[nama]	490	1.333%
nama	489	1.331%
tinggal	444	1.208%
ini	370	1.007%
makan	338	0.920%
pergi	336	0.914%
ibu	306	0.833%
dengan	302	0.822%
suka	295	0.803%
rumah	271	0.737%
indonesia	261	0.710%
hari	255	0.694%
tahun	242	0.659%
orang	236	0.642%
ayah	226	0.615%
[nama	220	0.599%
pagi	218	0.593%
adik	208	0.566%
tidur	203	0.552%
meja	202	0.550%
yang	199	0.542%
dua	190	0.517%
adalah	184	0.501%
tidak	177	0.482%
laki-laki	172	0.468%
bekerja	170	0.463%
buku	169	0.460%
bahasa	168	0.457%
kakak	166	0.452%
tokyo	166	0.452%
malam	165	0.449%
hobi	164	0.446%
punya	164	0.446%
itu	159	0.433%
juga	157	0.427%
kami	153	0.416%
restoran	149	0.405%
universitas	147	0.400%
belajar	143	0.389%
tempat	140	0.381%
perempuan	134	0.365%
apartemen	132	0.359%
mahasiswa	132	0.359%
sangat	132	0.359%
setiap	130	0.354%
berasal	129	0.351%
satu	129	0.351%
banyak	128	0.348%
mereka	122	0.332%
pada	119	0.324%
namanya	116	0.316%
siang	113	0.308%
atas	110	0.299%
kampus	110	0.299%
mau	108	0.294%
bangun	107	0.291%
dalam	105	0.286%
jepang	104	0.283%
kira-kira	103	0.280%
menonton	101	0.275%
sekali	101	0.275%
shonandai	100	0.272%
enak	97	0.264%
menit	96	0.261%
pulang	96	0.261%
sampai	96	0.261%
makanan	94	0.256%
dekat	90	0.245%
naik	89	0.242%
bermain	87	0.237%
lalu	87	0.237%
musik	85	0.231%
lahir	84	0.229%
favorit	83	0.226%
kafe	82	0.223%
keluarga	82	0.223%
teman	82	0.223%
waktu	82	0.223%
tiga	81	0.220%
untuk	81	0.220%
aku	80	0.218%
tua	80	0.218%
rak	79	0.215%
setengah	76	0.207%
tanggal	76	0.207%
sana	75	0.204%
tujuh	74	0.201%
<nama>	73	0.199%
anda	71	0.193%
film	71	0.193%
karena	71	0.193%
puluh	71	0.193%
tetapi	69	0.188%
kursi	68	0.185%
delapan	66	0.180%
keio	65	0.177%
lebih	64	0.174%
sekarang	63	0.171%
sore	62	0.169%
goreng	61	0.166%
mandi	60	0.163%
garden	59	0.161%
lima	59	0.161%
mendengarkan	59	0.161%
belas	58	0.158%
kali	57	0.155%
stasiun	57	0.155%
heights	56	0.152%
kereta	56	0.152%
minum	56	0.152%
sebelah	55	0.150%
bali	53	0.144%
bisa	53	0.144%
nasi	53	0.144%
toko	53	0.144%
sembilan	52	0.142%
daripada	51	0.139%
enam	51	0.139%
nenek	51	0.139%
2	50	0.136%
7	50	0.136%
chiba	50	0.136%
sendirian	49	0.133%
sma	49	0.133%
umurnya	49	0.133%
10	48	0.131%
umur	48	0.131%
besar	47	0.128%
pegawai	47	0.128%
sepuluh	47	0.128%
